"","age","rate","value"
"1","50_to_54",5772.1,108314
"2","0_to_4",1498.4,24070
"3","40_to_44",5691.7,107261
"4","70_to_74",2126.6,30818
"5","30_to_34",6625.4,123781
"6","5_to_9",1526.2,28404
"7","85_to_89",5563.3,29426
"8","80_to_84",3579.3,28794
"9","25_to_29",7611.9,129033
"10","35_to_39",6010,114634
"11","65_to_69",2559,36951
"12","45_to_49",6238.8,106939
"13","55_to_59",4685.5,92797
"14","90+",9175,32208
"15","10_to_14",2957.9,51046
"16","20_to_24",8568,128736
"17","60_to_64",3967.9,62875
"18","75_to_79",2593.9,26976
"19","15_to_19",6104.1,99789
