"","age","value","rate"
"1","40_to_44",17159,928
"2","0_to_4",4405,260.2
"3","5_to_9",4244,234.5
"4","20_to_24",28612,1802.1
"5","35_to_39",18884,993.6
"6","80_to_84",10959,1724.6
"7","70_to_74",10465,786.8
"8","25_to_29",22436,1251.5
"9","75_to_79",10271,1140.3
"10","15_to_19",25066,1457.8
"11","50_to_54",19868,1080.2
"12","55_to_59",18500,960.1
"13","85_to_89",9282,2645.6
"14","45_to_49",18387,1081.5
"15","30_to_34",21222,1097.8
"16","60_to_64",14590,955.3
"17","10_to_14",6869,379
"18","65_to_69",10767,795.9
"19","90+",6580,3958.3
