"","age","rate","value"
"1","30_to_34",4546.9,84949
"2","25_to_29",5239.6,88818
"3","60_to_64",2794.3,44279
"4","85_to_89",4493.8,23769
"5","45_to_49",4410.1,75593
"6","70_to_74",1541.6,22341
"7","80_to_84",2824.9,22725
"8","20_to_24",6149.5,92397
"9","15_to_19",4768.4,77954
"10","50_to_54",4082.6,76610
"11","90+",7405.4,25996
"12","40_to_44",3955.4,74540
"13","35_to_39",4129,78756
"14","55_to_59",3309,65535
"15","75_to_79",1975.5,20545
"16","10_to_14",2174,37518
"17","65_to_69",1798.3,25966
"18","0_to_4",1042.4,16745
"19","5_to_9",1066.6,19849
