"","age","rate","value"
"1","10_to_14",91.6,1660
"2","0_to_4",84,1423
"3","90+",3561.8,5921
"4","40_to_44",446.9,8263
"5","30_to_34",476.4,9209
"6","80_to_84",1461.2,9285
"7","20_to_24",437.5,6947
"8","15_to_19",215.3,3702
"9","65_to_69",498.4,6743
"10","5_to_9",81.1,1467
"11","60_to_64",540.6,8256
"12","45_to_49",538.6,9158
"13","55_to_59",502,9673
"14","25_to_29",497.2,8913
"15","50_to_54",537.1,9879
"16","85_to_89",2318.1,8133
"17","70_to_74",551.4,7334
"18","35_to_39",445.8,8473
"19","75_to_79",894.4,8056
