"","age","rate","value"
"1","80_to_84",5478.6,34814
"2","35_to_39",7613.1,144691
"3","45_to_49",7766.9,132053
"4","40_to_44",7186.3,132883
"5","25_to_29",8747.2,156812
"6","15_to_19",6323.2,108724
"7","70_to_74",3585.1,47687
"8","55_to_59",6357.7,122509
"9","60_to_64",5997.3,91593
"10","90+",12164.8,20222
"11","65_to_69",4283.8,57951
"12","5_to_9",2492.6,45107
"13","10_to_14",3797.2,68823
"14","0_to_4",2417.1,40926
"15","30_to_34",8111,156796
"16","75_to_79",4261.5,38384
"17","50_to_54",7408.3,136261
"18","85_to_89",8149.9,28594
"19","20_to_24",9350.8,148464
