"","age","rate","value"
"1","5_to_9",148.7,2690
"2","80_to_84",1545.8,9823
"3","70_to_74",624.2,8303
"4","40_to_44",620.8,11480
"5","60_to_64",671.1,10250
"6","25_to_29",774.7,13888
"7","90+",3701.4,6153
"8","45_to_49",730.3,12417
"9","15_to_19",543.9,9352
"10","50_to_54",718.5,13216
"11","75_to_79",970.1,8738
"12","10_to_14",207.6,3762
"13","20_to_24",855.1,13577
"14","85_to_89",2431.8,8532
"15","55_to_59",654.2,12606
"16","30_to_34",709.3,13712
"17","0_to_4",150.5,2549
"18","65_to_69",595.5,8056
"19","35_to_39",651,12372
