"","age","rate","value"
"1","0_to_4",60,964
"2","5_to_9",57.7,1073
"3","75_to_79",634.6,6600
"4","45_to_49",700.4,12005
"5","70_to_74",362.9,5259
"6","80_to_84",1130.6,9095
"7","90+",3437.5,12067
"8","60_to_64",510.2,8084
"9","40_to_44",560.9,10570
"10","25_to_29",739.2,12530
"11","65_to_69",335.4,4843
"12","30_to_34",630.4,11777
"13","15_to_19",196.4,3210
"14","35_to_39",539.1,10283
"15","50_to_54",693.8,13019
"16","20_to_24",594.3,8930
"17","10_to_14",71.3,1230
"18","85_to_89",2020.1,10685
"19","55_to_59",589.4,11673
