age,value,rate
0_to_4,623,770.6
5_to_9,637,570.7
10_to_14,1017,1135.3
15_to_19,3521,3996.3
20_to_24,4504,5421.2
25_to_29,4091,4258.8
30_to_34,3744,3680.8
35_to_39,3454,3572.4
40_to_44,3371,3605.2
45_to_49,3708,4316.9
50_to_54,4027,3944.5
55_to_59,3582,3164.6
60_to_64,2309,2333.4
65_to_69,1224,1308
70_to_74,1131,1220.7
75_to_79,1138,1691.4
80_to_84,1234,2464.6
85_to_89,1285,3956
90+,1371,6583.4
