"","age","rate","value"
"1","45_to_49",563.8,9585
"2","55_to_59",520.9,10037
"3","60_to_64",557.1,8509
"4","35_to_39",474.1,9010
"5","75_to_79",904.1,8143
"6","85_to_89",2333.2,8186
"7","80_to_84",1474.2,9368
"8","10_to_14",107.1,1941
"9","90+",3587.7,5964
"10","65_to_69",511.3,6917
"11","20_to_24",496.7,7886
"12","25_to_29",540.6,9692
"13","70_to_74",560.6,7457
"14","30_to_34",511.6,9890
"15","50_to_54",562.2,10340
"16","5_to_9",96.2,1740
"17","40_to_44",471.7,8723
"18","0_to_4",93.8,1588
"19","15_to_19",248.6,4275
