"","age","rate","value"
"1","90+",3464.4,5759
"2","20_to_24",241.1,3828
"3","60_to_64",482.4,7367
"4","70_to_74",518.2,6893
"5","65_to_69",454.4,6147
"6","75_to_79",859.7,7743
"7","55_to_59",440.9,8495
"8","10_to_14",54.6,990
"9","45_to_49",448.8,7630
"10","15_to_19",96.5,1659
"11","0_to_4",47.4,802
"12","85_to_89",2259.4,7927
"13","80_to_84",1412.7,8977
"14","50_to_54",462.7,8510
"15","40_to_44",354.4,6554
"16","25_to_29",343.4,6157
"17","5_to_9",47.6,861
"18","35_to_39",336,6386
"19","30_to_34",351.3,6792
