age,value,rate
0_to_4,305,360.1
5_to_9,268,253.2
10_to_14,440,467.1
15_to_19,1709,1843.3
20_to_24,1993,2231.8
25_to_29,1578,1483.9
30_to_34,1469,1378.8
35_to_39,1308,1358.7
40_to_44,1228,1343.3
45_to_49,1369,1636.3
50_to_54,1460,1505.5
55_to_59,1514,1411.1
60_to_64,1032,1099
65_to_69,694,783.6
70_to_74,718,828.8
75_to_79,767,1289
80_to_84,679,1710.3
85_to_89,553,2584.6
90+,385,3972.8
