"","age","rate","value"
"1","65_to_69",287.3,4149
"2","15_to_19",115.1,1882
"3","10_to_14",36,622
"4","0_to_4",26.4,424
"5","70_to_74",324.3,4700
"6","90+",3207.9,11261
"7","75_to_79",584.2,6076
"8","45_to_49",595.4,10206
"9","20_to_24",432.2,6494
"10","40_to_44",461.9,8704
"11","30_to_34",506.2,9458
"12","80_to_84",1048.4,8434
"13","25_to_29",589.2,9988
"14","5_to_9",28.6,533
"15","50_to_54",603.1,11317
"16","35_to_39",435,8297
"17","85_to_89",1877.8,9932
"18","60_to_64",445.7,7062
"19","55_to_59",517.6,10251
