"","age","rate","value"
"1","30_to_34",7758.7,149986
"2","35_to_39",7278,138323
"3","10_to_14",3635.9,65900
"4","90+",11855,19707
"5","5_to_9",2372.4,42932
"6","40_to_44",6878.2,127186
"7","20_to_24",9022.8,143256
"8","45_to_49",7471.6,127032
"9","50_to_54",7124.6,131042
"10","60_to_64",5778.4,88250
"11","70_to_74",3490.8,46433
"12","80_to_84",5347.8,33983
"13","0_to_4",2287.1,38726
"14","25_to_29",8402.3,150629
"15","75_to_79",4162.4,37491
"16","15_to_19",6105.8,104986
"17","55_to_59",6125.2,118029
"18","65_to_69",4144.6,56068
"19","85_to_89",7948.7,27888
