age,value,rate
0_to_4,598,706
5_to_9,607,573.4
10_to_14,971,1030.7
15_to_19,2585,2788.2
20_to_24,3495,3913.8
25_to_29,2841,2671.5
30_to_34,2634,2472.2
35_to_39,2338,2428.7
40_to_44,2242,2452.6
45_to_49,2525,3018.1
50_to_54,2603,2684.1
55_to_59,2623,2444.7
60_to_64,1810,1927.6
65_to_69,1197,1351.6
70_to_74,1152,1329.7
75_to_79,1156,1942.8
80_to_84,1045,2632.2
85_to_89,798,3729.7
90+,581,5995.3
