"","age","rate","value"
"1","50_to_54",412.9,7594
"2","30_to_34",281.6,5444
"3","5_to_9",30.1,545
"4","55_to_59",395.4,7619
"5","75_to_79",811.5,7309
"6","80_to_84",1329.6,8449
"7","15_to_19",62.6,1077
"8","70_to_74",484.5,6445
"9","0_to_4",29.2,494
"10","20_to_24",177.7,2822
"11","65_to_69",413.2,5590
"12","60_to_64",438.3,6694
"13","10_to_14",33.3,603
"14","45_to_49",392.1,6666
"15","35_to_39",271.6,5162
"16","25_to_29",275.4,4937
"17","40_to_44",296.9,5490
"18","85_to_89",2135.7,7493
"19","90+",3286.9,5464
