"","age","rate","value"
"1","25_to_29",3689.9,66149
"2","50_to_54",3259.8,59958
"3","20_to_24",4478.3,71103
"4","35_to_39",3104.9,59011
"5","55_to_59",2788.4,53731
"6","10_to_14",1966.3,35638
"7","85_to_89",4690.3,16456
"8","60_to_64",2653.3,40522
"9","80_to_84",3170.6,20148
"10","40_to_44",2997.8,55432
"11","15_to_19",3572.3,61424
"12","45_to_49",3379,57450
"13","5_to_9",1082.9,19597
"14","90+",6810.3,11321
"15","70_to_74",1809.5,24069
"16","65_to_69",2006,27137
"17","0_to_4",941.8,15946
"18","75_to_79",2300.7,20723
"19","30_to_34",3330,64373
