"","age","rate","value"
"1","10_to_14",3569.4,64694
"2","25_to_29",8202.3,147044
"3","35_to_39",7073.2,134430
"4","20_to_24",8827.1,140149
"5","5_to_9",2312.4,41845
"6","75_to_79",4079.3,36743
"7","40_to_44",6696,123816
"8","80_to_84",5256.1,33400
"9","60_to_64",5629.5,85976
"10","15_to_19",6004.7,103249
"11","55_to_59",5970.6,115049
"12","90+",11611.9,19303
"13","70_to_74",3418.2,45467
"14","65_to_69",4051.4,54808
"15","0_to_4",2210.8,37433
"16","30_to_34",7542.2,145800
"17","85_to_89",7803.9,27380
"18","50_to_54",6952.2,127871
"19","45_to_49",7288.3,123916
