age,value,rate
0_to_4,248,292.8
5_to_9,224,211.6
10_to_14,356,377.9
15_to_19,1454,1568.3
20_to_24,1664,1863.4
25_to_29,1349,1268.5
30_to_34,1222,1147
35_to_39,1116,1159.3
40_to_44,1081,1182.5
45_to_49,1199,1433.1
50_to_54,1257,1296.1
55_to_59,1321,1231.2
60_to_64,898,956.3
65_to_69,618,697.8
70_to_74,649,749.1
75_to_79,706,1186.5
80_to_84,640,1612.1
85_to_89,513,2397.6
90+,358,3694.1
