"","age","rate","value"
"1","75_to_79",1495.5,15553
"2","40_to_44",2640.6,49763
"3","35_to_39",2774.1,52914
"4","85_to_89",3450.8,18252
"5","55_to_59",2412,47771
"6","50_to_54",2925.4,54896
"7","80_to_84",2159.6,17373
"8","10_to_14",1156.4,19956
"9","25_to_29",3691.6,62578
"10","60_to_64",2038.5,32302
"11","15_to_19",3573.9,58425
"12","90+",5670.3,19905
"13","5_to_9",583.1,10852
"14","30_to_34",3126.6,58413
"15","0_to_4",657.5,10563
"16","70_to_74",1150.1,16667
"17","45_to_49",3053.4,52338
"18","65_to_69",1325.8,19144
"19","20_to_24",4651.7,69893
