"","age","rate","value"
"1","85_to_89",2409.6,12745
"2","25_to_29",1778,30140
"3","40_to_44",1224.8,23082
"4","5_to_9",225.1,4189
"5","45_to_49",1453.9,24922
"6","55_to_59",1173.5,23242
"7","90+",4065.6,14272
"8","0_to_4",276.9,4448
"9","10_to_14",397.6,6862
"10","20_to_24",2428.2,36484
"11","50_to_54",1421.9,26682
"12","75_to_79",883.7,9190
"13","80_to_84",1423.9,11455
"14","70_to_74",587.1,8508
"15","30_to_34",1462.5,27324
"16","35_to_39",1265.6,24141
"17","15_to_19",2055.4,33601
"18","65_to_69",640.5,9248
"19","60_to_64",990.8,15700
