"","age","value","rate"
"1","65_to_69",1493,103.4
"2","25_to_29",1786,105.4
"3","30_to_34",1839,98.4
"4","5_to_9",50,2.7
"5","85_to_89",2604,492.3
"6","45_to_49",2187,127.6
"7","60_to_64",1796,113.3
"8","20_to_24",798,53.1
"9","75_to_79",2259,217.2
"10","0_to_4",150,9.3
"11","10_to_14",81,4.7
"12","15_to_19",199,12.2
"13","50_to_54",2419,128.9
"14","70_to_74",1889,130.3
"15","55_to_59",2237,112.9
"16","90+",2297,654.3
"17","80_to_84",2662,330.9
"18","40_to_44",1739,92.3
"19","35_to_39",1614,84.6
