"","age","rate","value"
"1","15_to_19",392.9,6423
"2","10_to_14",142.5,2459
"3","45_to_49",857.1,14691
"4","30_to_34",817,15264
"5","35_to_39",705.1,13449
"6","75_to_79",680.4,7076
"7","80_to_84",1192.1,9590
"8","0_to_4",107.8,1732
"9","25_to_29",993.6,16843
"10","50_to_54",841,15781
"11","90+",3605.6,12657
"12","65_to_69",389.7,5627
"13","20_to_24",932.9,14017
"14","85_to_89",2109.2,11156
"15","70_to_74",402.5,5833
"16","55_to_59",700.9,13881
"17","5_to_9",108.1,2012
"18","60_to_64",604.9,9585
"19","40_to_44",705.5,13296
