"","age","rate","value"
"1","70_to_74",1114.2,14821
"2","65_to_69",1188.2,16074
"3","85_to_89",3155.5,11071
"4","55_to_59",1546.6,29801
"5","25_to_29",2040.7,36584
"6","45_to_49",1764.3,29997
"7","35_to_39",1635.3,31079
"8","50_to_54",1763.8,32441
"9","90+",4583.3,7619
"10","75_to_79",1484.6,13372
"11","20_to_24",2782.7,44181
"12","60_to_64",1506.4,23007
"13","15_to_19",2113.4,36339
"14","10_to_14",689.2,12491
"15","40_to_44",1529.4,28281
"16","30_to_34",1792.9,34658
"17","80_to_84",2120.5,13475
"18","5_to_9",403,7293
"19","0_to_4",439.6,7444
