"","age","rate","value"
"1","35_to_39",123.7,2360
"2","25_to_29",158.7,2690
"3","50_to_54",183.9,3451
"4","90+",882.8,3099
"5","60_to_64",152.2,2411
"6","80_to_84",423.1,3404
"7","15_to_19",16.8,274
"8","65_to_69",128.1,1850
"9","30_to_34",146.4,2735
"10","55_to_59",159.1,3152
"11","10_to_14",6.2,107
"12","5_to_9",4,75
"13","85_to_89",656,3470
"14","70_to_74",161.1,2334
"15","45_to_49",183.7,3148
"16","20_to_24",80.6,1211
"17","40_to_44",135.2,2548
"18","75_to_79",269.6,2804
"19","0_to_4",12.1,194
