"","age","rate","value"
"1","25_to_29",11405.9,193346
"2","90+",13542.4,47539
"3","30_to_34",10149,189612
"4","65_to_69",3812.4,55049
"5","0_to_4",2511,40338
"6","85_to_89",8050.8,42583
"7","55_to_59",7079.6,140214
"8","60_to_64",6059.1,96012
"9","10_to_14",4273.9,73756
"10","15_to_19",8258.2,135004
"11","5_to_9",2436.4,45343
"12","75_to_79",3775.6,39265
"13","45_to_49",9176.1,157287
"14","70_to_74",3134.3,45422
"15","40_to_44",8466.3,159550
"16","35_to_39",9151.7,174559
"17","50_to_54",8638.5,162104
"18","80_to_84",5144.6,41386
"19","20_to_24",12432.9,186806
