"","age","rate","value"
"1","55_to_59",4467.1,86077
"2","90+",8959.7,14894
"3","65_to_69",3083.6,41715
"4","40_to_44",5010.3,92646
"5","35_to_39",5244.2,99668
"6","20_to_24",6931.3,110050
"7","0_to_4",1550.1,26246
"8","10_to_14",2920.5,52933
"9","5_to_9",1750.3,31673
"10","80_to_84",4195.1,26658
"11","45_to_49",5522.7,93896
"12","30_to_34",5610.8,108464
"13","60_to_64",4205.6,64230
"14","70_to_74",2660.2,35384
"15","85_to_89",6139.1,21539
"16","15_to_19",5000.3,85978
"17","50_to_54",5240.5,96389
"18","25_to_29",6233.5,111749
"19","75_to_79",3184.4,28682
