age,rate,value
0_to_4,2130.1,1722
5_to_9,1629.7,1819
10_to_14,3024.2,2709
15_to_19,7567,6667
20_to_24,11806.6,9809
25_to_29,9801.3,9415
30_to_34,8649.5,8798
35_to_39,8380.7,8103
40_to_44,8003.9,7484
45_to_49,9583.9,8232
50_to_54,8722.5,8905
55_to_59,7057.3,7988
60_to_64,5613.8,5555
65_to_69,3350.1,3135
70_to_74,2983.3,2764
75_to_79,3678.5,2475
80_to_84,5111,2559
85_to_89,7662.7,2489
90+,12537.8,2611
