"","age","rate","value"
"1","65_to_69",3029.7,40986
"2","5_to_9",1727.1,31253
"3","80_to_84",4136.4,26285
"4","75_to_79",3134,28228
"5","35_to_39",5154.6,97966
"6","15_to_19",4934.6,84848
"7","20_to_24",6809.3,108113
"8","0_to_4",1525.4,25829
"9","10_to_14",2885.8,52305
"10","55_to_59",4394,84669
"11","70_to_74",2618.4,34828
"12","60_to_64",4131.1,63091
"13","40_to_44",4926.4,91095
"14","30_to_34",5513.5,106583
"15","45_to_49",5434.3,92394
"16","50_to_54",5152.6,94771
"17","25_to_29",6119.9,109712
"18","90+",8818.3,14659
"19","85_to_89",6054.7,21243
