"","age","rate","value"
"1","25_to_29",5757.6,97600
"2","50_to_54",4452.3,83549
"3","75_to_79",2103,21871
"4","60_to_64",3042.7,48215
"5","80_to_84",2982.5,23993
"6","85_to_89",4715,24939
"7","55_to_59",3599,71279
"8","40_to_44",4366.8,82293
"9","35_to_39",4566.7,87106
"10","10_to_14",2393.8,41310
"11","20_to_24",6667.6,100182
"12","15_to_19",5069.3,82873
"13","65_to_69",1958,28273
"14","90+",7783.8,27324
"15","30_to_34",5016.3,93718
"16","45_to_49",4836.4,82901
"17","0_to_4",1156.4,18576
"18","5_to_9",1183.5,22026
"19","70_to_74",1667.9,24171
