"","age","rate","value"
"1","10_to_14",41,743
"2","35_to_39",295.1,5609
"3","65_to_69",430.7,5827
"4","15_to_19",73.2,1259
"5","25_to_29",300.3,5383
"6","60_to_64",457.6,6988
"7","30_to_34",307.9,5952
"8","20_to_24",200,3175
"9","55_to_59",414.3,7983
"10","0_to_4",34.4,582
"11","45_to_49",415.3,7061
"12","80_to_84",1372.1,8719
"13","40_to_44",318.2,5883
"14","50_to_54",433.4,7972
"15","85_to_89",2201.2,7723
"16","75_to_79",835.2,7523
"17","70_to_74",499.4,6643
"18","5_to_9",35.3,639
"19","90+",3377.8,5615
