"","age","rate","value"
"1","60_to_64",6034.6,92163
"2","25_to_29",8824.1,158192
"3","35_to_39",7696.6,146278
"4","5_to_9",2560.2,46330
"5","30_to_34",8188.9,158301
"6","50_to_54",7467,137340
"7","40_to_44",7257.4,134197
"8","15_to_19",6397,109993
"9","90+",12206.3,20291
"10","70_to_74",3599.9,47884
"11","0_to_4",2454.3,41557
"12","20_to_24",9423.8,149623
"13","80_to_84",5497.8,34936
"14","45_to_49",7833.5,133185
"15","85_to_89",8177.6,28691
"16","65_to_69",4306.1,58253
"17","75_to_79",4279.4,38545
"18","10_to_14",3880.6,70334
"19","55_to_59",6404.2,123404
