"","age","rate","value"
"1","75_to_79",1614.4,16789
"2","15_to_19",3836.9,62726
"3","30_to_34",3417.2,63843
"4","90+",6098.8,21409
"5","60_to_64",2209.7,35015
"6","0_to_4",737.9,11853
"7","5_to_9",684.1,12731
"8","85_to_89",3703.3,19588
"9","80_to_84",2322.4,18683
"10","10_to_14",1379.4,23804
"11","65_to_69",1431.6,20671
"12","40_to_44",2911.2,54863
"13","50_to_54",3173.9,59558
"14","55_to_59",2607.7,51646
"15","70_to_74",1245.2,18045
"16","35_to_39",3055.1,58273
"17","45_to_49",3341.3,57274
"18","20_to_24",4958.4,74501
"19","25_to_29",3994,67704
