"","age","rate","value"
"1","65_to_69",867.1,11730
"2","40_to_44",1037.4,19183
"3","5_to_9",267.4,4839
"4","85_to_89",2727.9,9571
"5","0_to_4",291.8,4941
"6","50_to_54",1202.1,22111
"7","80_to_84",1792.7,11392
"8","60_to_64",1054.9,16111
"9","10_to_14",437.7,7933
"10","90+",4066.6,6760
"11","55_to_59",1064.8,20517
"12","75_to_79",1196.7,10779
"13","45_to_49",1202.9,20451
"14","30_to_34",1223.3,23647
"15","20_to_24",2001.4,31776
"16","25_to_29",1397.5,25053
"17","70_to_74",847.9,11279
"18","35_to_39",1108,21058
"19","15_to_19",1612.1,27720
