"","age","rate","value"
"1","10_to_14",1452.9,25073
"2","15_to_19",3920.7,64096
"3","90+",6276.8,22034
"4","85_to_89",3800,20099
"5","75_to_79",1652.9,17190
"6","65_to_69",1463.4,21130
"7","25_to_29",4092.2,69369
"8","45_to_49",3440.1,58966
"9","0_to_4",765.1,12291
"10","60_to_64",2263.4,35866
"11","50_to_54",3256.7,61113
"12","70_to_74",1272.2,18436
"13","80_to_84",2379.7,19144
"14","55_to_59",2669.9,52879
"15","5_to_9",720.7,13412
"16","35_to_39",3148,60045
"17","20_to_24",5053.1,75924
"18","40_to_44",3001.2,56558
"19","30_to_34",3512,65614
