"","age","rate","value"
"1","20_to_24",8798.1,139689
"2","60_to_64",5606.5,85625
"3","15_to_19",5989.5,102987
"4","65_to_69",4037.3,54617
"5","10_to_14",3559.9,64522
"6","85_to_89",7776.3,27283
"7","5_to_9",2302,41658
"8","0_to_4",2200.2,37254
"9","80_to_84",5241.9,33310
"10","35_to_39",7044.4,133883
"11","40_to_44",6670.7,123348
"12","90+",11571,19235
"13","75_to_79",4066.2,36625
"14","30_to_34",7512.4,145224
"15","70_to_74",3406.2,45308
"16","45_to_49",7261.3,123456
"17","50_to_54",6927.4,127416
"18","55_to_59",5946.8,114591
"19","25_to_29",8171.9,146499
