"","age","rate","value"
"1","55_to_59",588.5,11656
"2","45_to_49",699.4,11988
"3","10_to_14",70.9,1223
"4","25_to_29",736.6,12486
"5","65_to_69",334.8,4834
"6","35_to_39",538,10261
"7","90+",3436.9,12065
"8","0_to_4",59.4,954
"9","80_to_84",1130.2,9092
"10","5_to_9",57.5,1070
"11","75_to_79",634.2,6596
"12","20_to_24",592,8895
"13","30_to_34",628.4,11740
"14","50_to_54",692.7,12998
"15","15_to_19",195,3188
"16","70_to_74",362.7,5256
"17","85_to_89",2019.6,10682
"18","60_to_64",509.5,8073
"19","40_to_44",559.4,10542
