"","age","value","rate"
"1","25_to_29",3104,173.1
"2","10_to_14",213,11.8
"3","55_to_59",5816,301.8
"4","0_to_4",367,21.7
"5","90+",4050,2436.3
"6","80_to_84",6681,1051.4
"7","15_to_19",487,28.3
"8","5_to_9",188,10.4
"9","70_to_74",5171,388.8
"10","65_to_69",4456,329.4
"11","50_to_54",5693,309.5
"12","20_to_24",1554,97.9
"13","30_to_34",3535,182.9
"14","35_to_39",3499,184.1
"15","40_to_44",3909,211.4
"16","75_to_79",5906,655.7
"17","85_to_89",5788,1649.7
"18","45_to_49",4883,287.2
"19","60_to_64",5203,340.7
