"","age","rate","value"
"1","15_to_19",78.8,1355
"2","75_to_79",844.7,7608
"3","5_to_9",38.6,698
"4","55_to_59",423.6,8162
"5","50_to_54",442,8130
"6","60_to_64",464.9,7100
"7","40_to_44",327.8,6062
"8","45_to_49",424.4,7215
"9","85_to_89",2220.9,7792
"10","80_to_84",1388.3,8822
"11","90+",3409,5667
"12","35_to_39",306.6,5827
"13","10_to_14",45,816
"14","65_to_69",437.3,5916
"15","70_to_74",506.2,6733
"16","20_to_24",210.6,3343
"17","25_to_29",311.9,5592
"18","0_to_4",37.3,632
"19","30_to_34",320.6,6197
