"","age","rate","value"
"1","20_to_24",355.2,5640
"2","35_to_39",407,7735
"3","85_to_89",2301,8073
"4","30_to_34",431.7,8346
"5","25_to_29",438.4,7860
"6","90+",3528.8,5866
"7","60_to_64",521.4,7963
"8","70_to_74",540.9,7195
"9","80_to_84",1445.9,9188
"10","0_to_4",72.5,1227
"11","50_to_54",511,9399
"12","45_to_49",506.2,8606
"13","10_to_14",78,1413
"14","55_to_59",481,9269
"15","40_to_44",414.6,7666
"16","65_to_69",485.3,6565
"17","75_to_79",883.2,7955
"18","15_to_19",162.1,2787
"19","5_to_9",69.4,1256
