"","age","rate","value"
"1","50_to_54",6821.3,125464
"2","60_to_64",5522.6,84343
"3","80_to_84",5178.9,32910
"4","45_to_49",7155.1,121651
"5","65_to_69",3981.5,53862
"6","15_to_19",5930,101964
"7","25_to_29",8054.9,144401
"8","85_to_89",7679.9,26945
"9","55_to_59",5861.1,112939
"10","0_to_4",2155.4,36496
"11","5_to_9",2263.8,40966
"12","75_to_79",4009.8,36117
"13","40_to_44",6565.5,121403
"14","20_to_24",8690.5,137981
"15","90+",11417,18979
"16","35_to_39",6930.2,131713
"17","10_to_14",3518.5,63771
"18","70_to_74",3360,44693
"19","30_to_34",7392.8,142911
