"","age","value","rate"
"1","85_to_89",11008,2081.2
"2","10_to_14",1945,112.7
"3","5_to_9",1690,90.8
"4","25_to_29",15578,919
"5","40_to_44",12341,654.9
"6","0_to_4",1484,92.4
"7","75_to_79",6913,664.7
"8","70_to_74",5658,390.4
"9","65_to_69",5364,371.5
"10","55_to_59",13135,663.2
"11","35_to_39",12357,647.8
"12","15_to_19",5417,331.4
"13","80_to_84",9447,1174.3
"14","60_to_64",9066,572.1
"15","45_to_49",13757,802.6
"16","30_to_34",14163,758.1
"17","50_to_54",14791,788.2
"18","20_to_24",12531,834
"19","90+",12471,3552.6
