age,value,rate
0_to_4,694,858.5
5_to_9,759,680
10_to_14,1187,1325.1
15_to_19,3748,4254
20_to_24,4827,5810
25_to_29,4389,4569.1
30_to_34,4032,3963.9
35_to_39,3726,3853.7
40_to_44,3639,3891.8
45_to_49,3993,4648.8
50_to_54,4296,4208
55_to_59,3824,3378.5
60_to_64,2486,2512.3
65_to_69,1326,1417
70_to_74,1220,1316.8
75_to_79,1202,1786.5
80_to_84,1283,2562.5
85_to_89,1343,4134.6
90+,1415,6794.7
