"","age","rate","value"
"1","20_to_24",48.2,765
"2","45_to_49",197.2,3352
"3","5_to_9",6.1,111
"4","35_to_39",116,2204
"5","85_to_89",1218.8,4276
"6","70_to_74",311,4137
"7","55_to_59",216.1,4165
"8","50_to_54",215.8,3969
"9","80_to_84",805.6,5119
"10","75_to_79",524.8,4727
"11","10_to_14",7.6,138
"12","25_to_29",104.3,1869
"13","90+",1690.4,2810
"14","40_to_44",142.9,2642
"15","0_to_4",17.4,295
"16","65_to_69",258.4,3496
"17","60_to_64",253,3864
"18","30_to_34",111,2146
"19","15_to_19",14.5,249
