"","age","rate","value"
"1","0_to_4",23.5,377
"2","35_to_39",414.5,7906
"3","75_to_79",564.6,5872
"4","85_to_89",1808.4,9565
"5","10_to_14",31.9,550
"6","70_to_74",312.4,4527
"7","20_to_24",405.3,6090
"8","25_to_29",557.6,9452
"9","55_to_59",499.8,9899
"10","15_to_19",104,1700
"11","40_to_44",441.2,8314
"12","80_to_84",1011,8133
"13","65_to_69",276.5,3992
"14","90+",3083.4,10824
"15","60_to_64",428.5,6790
"16","50_to_54",582.3,10927
"17","5_to_9",24,447
"18","45_to_49",573.3,9827
"19","30_to_34",480.7,8980
