"","age","rate","value"
"1","90+",10002.2,16627
"2","40_to_44",5643.1,104347
"3","85_to_89",6762.1,23725
"4","0_to_4",1767.6,29930
"5","25_to_29",7001.1,125511
"6","15_to_19",5401.1,92869
"7","45_to_49",6192.9,105291
"8","30_to_34",6329.7,122361
"9","80_to_84",4592.3,29182
"10","55_to_59",5044.8,97210
"11","5_to_9",1939.6,35099
"12","50_to_54",5897.1,108465
"13","35_to_39",5915.2,112421
"14","60_to_64",4744.6,72462
"15","20_to_24",7684.1,122001
"16","10_to_14",3154.4,57173
"17","75_to_79",3523.8,31739
"18","70_to_74",2954.5,39299
"19","65_to_69",3452.3,46703
