"","age","rate","value"
"1","40_to_44",477,8989
"2","85_to_89",1912.2,10114
"3","10_to_14",41.1,709
"4","5_to_9",31.5,587
"5","50_to_54",618.4,11604
"6","45_to_49",613.7,10520
"7","25_to_29",608.6,10316
"8","65_to_69",295.4,4265
"9","80_to_84",1068.2,8593
"10","70_to_74",332.7,4821
"11","90+",3255.2,11427
"12","15_to_19",124.2,2030
"13","20_to_24",451,6777
"14","75_to_79",596.1,6199
"15","30_to_34",524,9789
"16","0_to_4",29.8,478
"17","35_to_39",450.9,8601
"18","55_to_59",529.8,10493
"19","60_to_64",455.2,7213
