"","age","rate","value"
"1","65_to_69",491.4,6647
"2","35_to_39",423.9,8056
"3","70_to_74",544.4,7241
"4","15_to_19",191.3,3289
"5","50_to_54",522.6,9612
"6","10_to_14",84,1522
"7","30_to_34",451.5,8728
"8","80_to_84",1452.2,9228
"9","25_to_29",464.7,8331
"10","40_to_44",429,7933
"11","75_to_79",888.6,8004
"12","5_to_9",74.8,1353
"13","45_to_49",520.3,8846
"14","90+",3543.2,5890
"15","85_to_89",2307.5,8096
"16","60_to_64",529.1,8081
"17","0_to_4",77.7,1315
"18","20_to_24",393.8,6253
"19","55_to_59",489.1,9424
