"","age","rate","value"
"1","50_to_54",658.8,12118
"2","70_to_74",599.1,7969
"3","40_to_44",569.8,10536
"4","35_to_39",587.6,11168
"5","80_to_84",1516.5,9637
"6","75_to_79",947.4,8533
"7","20_to_24",701.1,11132
"8","85_to_89",2397.3,8411
"9","90+",3665.9,6094
"10","60_to_64",626.2,9563
"11","65_to_69",561.9,7601
"12","5_to_9",135.9,2459
"13","45_to_49",669.6,11384
"14","25_to_29",692.7,12418
"15","30_to_34",640.2,12376
"16","0_to_4",129.9,2200
"17","10_to_14",176.3,3195
"18","15_to_19",385.9,6636
"19","55_to_59",604.2,11643
