"","age","rate","value"
"1","20_to_24",481.7,7238
"2","60_to_64",470,7448
"3","35_to_39",472.4,9010
"4","85_to_89",1946.4,10295
"5","80_to_84",1087.8,8751
"6","90+",3313.3,11631
"7","5_to_9",37.2,693
"8","10_to_14",47.9,827
"9","75_to_79",610.1,6345
"10","50_to_54",637.6,11965
"11","55_to_59",546.4,10822
"12","30_to_34",547,10220
"13","40_to_44",497.3,9371
"14","0_to_4",36.4,585
"15","15_to_19",137.3,2245
"16","45_to_49",636.6,10912
"17","25_to_29",638.1,10817
"18","65_to_69",306.2,4422
"19","70_to_74",341,4941
