"","age","rate","value"
"1","35_to_39",270.8,5165
"2","75_to_79",402.7,4188
"3","85_to_89",1156.5,6117
"4","15_to_19",46.6,761
"5","30_to_34",312.9,5845
"6","65_to_69",197.4,2851
"7","25_to_29",357.6,6061
"8","55_to_59",335,6635
"9","90+",1825.7,6409
"10","5_to_9",7.8,146
"11","20_to_24",220.6,3314
"12","70_to_74",230.5,3340
"13","60_to_64",294.8,4671
"14","45_to_49",389.5,6676
"15","50_to_54",395.5,7421
"16","40_to_44",292.9,5520
"17","0_to_4",17,273
"18","10_to_14",11.5,198
"19","80_to_84",689.5,5547
