"","age","rate","value"
"1","15_to_19",2730,44630
"2","25_to_29",2590.7,43916
"3","80_to_84",1704.9,13715
"4","70_to_74",819.7,11879
"5","40_to_44",1814,34185
"6","30_to_34",2164.9,40446
"7","0_to_4",430.1,6910
"8","35_to_39",1887.5,36003
"9","45_to_49",2120.2,36343
"10","85_to_89",2792.6,14771
"11","65_to_69",920.1,13286
"12","90+",4615.4,16202
"13","20_to_24",3418.5,51364
"14","55_to_59",1689.4,33459
"15","5_to_9",353,6569
"16","10_to_14",669.1,11547
"17","75_to_79",1124.6,11696
"18","60_to_64",1425.2,22583
"19","50_to_54",2048,38431
