"","age","rate","value"
"1","55_to_59",457.1,8808
"2","75_to_79",869.8,7834
"3","45_to_49",473.2,8046
"4","80_to_84",1430.2,9088
"5","70_to_74",528.5,7030
"6","85_to_89",2281,8003
"7","0_to_4",58,982
"8","90+",3502.3,5822
"9","10_to_14",64.5,1169
"10","15_to_19",118.7,2041
"11","35_to_39",365.9,6954
"12","40_to_44",382.1,7066
"13","50_to_54",483.6,8894
"14","5_to_9",56.6,1025
"15","20_to_24",281.6,4471
"16","25_to_29",376,6740
"17","60_to_64",499.4,7627
"18","30_to_34",384.2,7428
"19","65_to_69",469.2,6348
