age,rate,value
0_to_4,1288.9,1042
5_to_9,1046.5,1168
10_to_14,1959.2,1755
15_to_19,5362.9,4725
20_to_24,7611.8,6324
25_to_29,6182.7,5939
30_to_34,5406.2,5499
35_to_39,5287.2,5112
40_to_44,5235,4895
45_to_49,6217,5340
50_to_54,5629.2,5747
55_to_59,4481,5072
60_to_64,3483.5,3447
65_to_69,1994.1,1866
70_to_74,1804.6,1672
75_to_79,2279.9,1534
80_to_84,3231.6,1618
85_to_89,4916.6,1597
90+,7976,1661
