"","age","rate","value"
"1","65_to_69",3922.7,53066
"2","15_to_19",5868,100898
"3","40_to_44",6463.2,119512
"4","5_to_9",2221.9,40208
"5","30_to_34",7266.8,140476
"6","20_to_24",8574.2,136134
"7","45_to_49",7046.2,119799
"8","75_to_79",3956,35632
"9","70_to_74",3315.6,44102
"10","85_to_89",7581.3,26599
"11","0_to_4",2105.6,35652
"12","90+",11255.2,18710
"13","80_to_84",5107.3,32455
"14","50_to_54",6716.1,123528
"15","55_to_59",5767.6,111137
"16","25_to_29",7926.8,142105
"17","35_to_39",6809.5,129419
"18","60_to_64",5433,82975
"19","10_to_14",3471.6,62921
