"","age","rate","value"
"1","90+",3492.7,5806
"2","70_to_74",526.5,7003
"3","75_to_79",867.4,7813
"4","40_to_44",375.8,6949
"5","30_to_34",377.5,7297
"6","45_to_49",467.9,7955
"7","55_to_59",453.9,8746
"8","0_to_4",55.9,947
"9","35_to_39",359.4,6830
"10","85_to_89",2278.5,7994
"11","60_to_64",495.4,7566
"12","20_to_24",273,4334
"13","15_to_19",114,1960
"14","5_to_9",55,995
"15","80_to_84",1426.8,9067
"16","10_to_14",62.7,1136
"17","65_to_69",465.8,6302
"18","50_to_54",479,8811
"19","25_to_29",368.7,6610
