"","age","value","rate"
"1","75_to_79",7967,884.5
"2","90+",5863,3527
"3","60_to_64",7999,523.8
"4","35_to_39",7845,412.8
"5","85_to_89",8087,2305
"6","10_to_14",1457,80.4
"7","30_to_34",8484,438.9
"8","40_to_44",7735,418.3
"9","65_to_69",6590,487.1
"10","15_to_19",2958,172
"11","55_to_59",9338,484.6
"12","5_to_9",1288,71.2
"13","0_to_4",1250,73.8
"14","70_to_74",7223,543
"15","20_to_24",5849,368.4
"16","25_to_29",8044,448.7
"17","45_to_49",8693,511.3
"18","80_to_84",9190,1446.2
"19","50_to_54",9464,514.5
