"","age","rate","value"
"1","75_to_79",768.3,6920
"2","50_to_54",388.2,7140
"3","65_to_69",391.4,5295
"4","85_to_89",2022.2,7095
"5","45_to_49",365.3,6210
"6","25_to_29",246.5,4419
"7","15_to_19",52.2,897
"8","60_to_64",414.4,6329
"9","0_to_4",25.6,434
"10","35_to_39",246.7,4689
"11","5_to_9",24,435
"12","70_to_74",459.6,6113
"13","10_to_14",26.3,477
"14","40_to_44",274.9,5083
"15","55_to_59",371.4,7157
"16","20_to_24",154.6,2455
"17","90+",3089.6,5136
"18","30_to_34",254.7,4924
"19","80_to_84",1255.6,7979
