age,value,rate
0_to_4,607,750.8
5_to_9,610,546.5
10_to_14,985,1099.6
15_to_19,3484,3954.3
20_to_24,4452,5358.6
25_to_29,4018,4182.8
30_to_34,3661,3599.2
35_to_39,3389,3505.1
40_to_44,3302,3531.4
45_to_49,3642,4240.1
50_to_54,3962,3880.8
55_to_59,3525,3114.3
60_to_64,2280,2304.1
65_to_69,1197,1279.1
70_to_74,1120,1208.9
75_to_79,1124,1670.6
80_to_84,1218,2432.7
85_to_89,1266,3897.5
90+,1358,6521
