"","age","rate","value"
"1","40_to_44",383.3,7088
"2","80_to_84",1430.9,9093
"3","45_to_49",474.6,8069
"4","75_to_79",870.3,7839
"5","5_to_9",57.4,1038
"6","70_to_74",529.1,7038
"7","15_to_19",119.9,2061
"8","50_to_54",484.7,8915
"9","25_to_29",378.1,6779
"10","30_to_34",386.3,7467
"11","65_to_69",469.5,6352
"12","0_to_4",58.9,998
"13","90+",3502.3,5822
"14","85_to_89",2281.6,8005
"15","20_to_24",283.2,4496
"16","55_to_59",457.8,8822
"17","35_to_39",367.7,6988
"18","10_to_14",65.4,1186
"19","60_to_64",500.3,7641
