"","age","rate","value"
"1","80_to_84",1045.9,8414
"2","15_to_19",114.1,1866
"3","25_to_29",586.4,9941
"4","70_to_74",323.4,4687
"5","90+",3201.6,11239
"6","50_to_54",601.3,11284
"7","65_to_69",286.7,4140
"8","0_to_4",25.9,416
"9","35_to_39",433.2,8262
"10","75_to_79",582.8,6061
"11","55_to_59",515.3,10206
"12","40_to_44",459.6,8661
"13","30_to_34",503.6,9408
"14","85_to_89",1873,9907
"15","5_to_9",28,522
"16","45_to_49",592.8,10161
"17","60_to_64",443.8,7032
"18","10_to_14",35.6,615
"19","20_to_24",429.9,6460
