"","age","rate","value"
"1","5_to_9",5.9,107
"2","20_to_24",46.5,739
"3","50_to_54",208.7,3838
"4","15_to_19",14.2,244
"5","0_to_4",17.3,293
"6","75_to_79",516.8,4655
"7","90+",1648.9,2741
"8","65_to_69",254.4,3442
"9","25_to_29",99.6,1786
"10","70_to_74",306.5,4077
"11","40_to_44",138.9,2569
"12","80_to_84",790.9,5026
"13","30_to_34",106.8,2065
"14","60_to_64",246.4,3763
"15","85_to_89",1194.2,4190
"16","45_to_49",190.5,3239
"17","35_to_39",112.5,2139
"18","55_to_59",210.7,4061
"19","10_to_14",7.4,135
