age,value,rate
0_to_4,624,736.7
5_to_9,654,617.8
10_to_14,1029,1092.3
15_to_19,2646,2854
20_to_24,3587,4016.8
25_to_29,2931,2756.2
30_to_34,2726,2558.6
35_to_39,2429,2523.2
40_to_44,2318,2535.7
45_to_49,2609,3118.5
50_to_54,2682,2765.5
55_to_59,2692,2509
60_to_64,1870,1991.5
65_to_69,1252,1413.7
70_to_74,1191,1374.7
75_to_79,1194,2006.7
80_to_84,1076,2710.3
85_to_89,830,3879.2
90+,596,6150
