"","age","rate","value"
"1","15_to_19",6910.2,112967
"2","60_to_64",4796.6,76007
"3","40_to_44",6720.3,126647
"4","65_to_69",3058.9,44168
"5","20_to_24",10141.2,152373
"6","30_to_34",7925.1,148064
"7","70_to_74",2540.7,36819
"8","90+",11004.2,38629
"9","35_to_39",7136.9,136129
"10","85_to_89",6568.6,34743
"11","55_to_59",5640.4,111709
"12","0_to_4",1814.8,29154
"13","80_to_84",4227.1,34005
"14","75_to_79",3084.8,32081
"15","50_to_54",6899.3,129466
"16","45_to_49",7371.9,126362
"17","25_to_29",9114.3,154501
"18","5_to_9",1787.6,33268
"19","10_to_14",3346.8,57757
