"","age","rate","value"
"1","5_to_9",2098.7,37979
"2","85_to_89",7240.4,25403
"3","15_to_19",5672.5,97537
"4","90+",10722.8,17825
"5","65_to_69",3720.4,50329
"6","25_to_29",7540.2,135174
"7","10_to_14",3334.3,60433
"8","60_to_64",5146.1,78593
"9","50_to_54",6373.6,117229
"10","80_to_84",4887.7,31059
"11","0_to_4",1956,33120
"12","75_to_79",3772.7,33981
"13","40_to_44",6110.1,112983
"14","35_to_39",6427.1,122151
"15","20_to_24",8196.9,130143
"16","45_to_49",6683.4,113631
"17","30_to_34",6871.8,132841
"18","70_to_74",3159.7,42029
"19","55_to_59",5462.3,105254
